Артикул,Товар,Категория,Подкатегория,Цена за штуку,Цена за упаковку,Цена за коробку,Кол-во в упаковке,Кол-во в коробке
12140,"Бумажный стакан для горячих напитков, 2 сл, черный 250 мл.",ОДНОРАЗОВАЯ ПОСУДА,ОДНОРАЗОВЫЕ СТАКАНЫ,31,775,19375,25,625
12141,"Бумажный стакан для горячих напитков, 2 сл, черный 350 мл.",ОДНОРАЗОВАЯ ПОСУДА,ОДНОРАЗОВЫЕ СТАКАНЫ,45,1125,22500,25,500
12150,"Бумажный стакан для горячих напитков, 2 сл, крафт 250 мл.",ОДНОРАЗОВАЯ ПОСУДА,ОДНОРАЗОВЫЕ СТАКАНЫ,34,850,21250,25,625
12151,"Бумажный стакан для горячих напитков, 2 сл, крафт 350 мл.",ОДНОРАЗОВАЯ ПОСУДА,ОДНОРАЗОВЫЕ СТАКАНЫ,45,1125,22500,25,500
12153,"Бумажный стакан для горячих напитков, 2 сл, крафт 350 мл. 450 мл",ОДНОРАЗОВАЯ ПОСУДА,ОДНОРАЗОВЫЕ СТАКАНЫ,55,1375,27500,25,500
12160,"Бумажный стакан для горячих напитков, однослойный, серый Объемы: 250 мл.",ОДНОРАЗОВАЯ ПОСУДА,ОДНОРАЗОВЫЕ СТАКАНЫ,18,900,18000,50,1000
12161,"Бумажный стакан для горячих напитков, однослойный, серый Объемы: 350 мл.",ОДНОРАЗОВАЯ ПОСУДА,ОДНОРАЗОВЫЕ СТАКАНЫ,26,1300,26000,50,1000
12180,"Стакан рифленный двухслойный, коричневый 250 мл.",ОДНОРАЗОВАЯ ПОСУДА,ОДНОРАЗОВЫЕ СТАКАНЫ,35,875,17500,25,500
12181,"Стакан рифленный двухслойный, коричневый 350 мл.",ОДНОРАЗОВАЯ ПОСУДА,ОДНОРАЗОВЫЕ СТАКАНЫ,45,1125,22500,25,500
12182,"Стакан рифленный двухслойный, коричневый 400 мл.",ОДНОРАЗОВАЯ ПОСУДА,ОДНОРАЗОВЫЕ СТАКАНЫ,55,1375,27500,25,500
12170,"Стакан рифленный двухслойный, черный 250 мл.",ОДНОРАЗОВАЯ ПОСУДА,ОДНОРАЗОВЫЕ СТАКАНЫ,35,35,35,1,1
12171,"Стакан рифленный двухслойный, черный 350 мл.",ОДНОРАЗОВАЯ ПОСУДА,ОДНОРАЗОВЫЕ СТАКАНЫ,45,1125,22500,25,500
12172,"Стакан рифленный двухслойный, черный 400 мл.",ОДНОРАЗОВАЯ ПОСУДА,ОДНОРАЗОВЫЕ СТАКАНЫ,55,1375,27500,25,500
13011,"Крышка d-80 мм., прозрачная С ПИТЕЙНИКОМ Для стаканов объемом 250 мл.",ОДНОРАЗОВАЯ ПОСУДА,ОДНОРАЗОВЫЕ СТАКАНЫ,10,500,10000,50,1000
13013,"Крышка d-80 мм., черная С ПИТЕЙНИКОМ Для стаканов объемом 250 мл.",ОДНОРАЗОВАЯ ПОСУДА,ОДНОРАЗОВЫЕ СТАКАНЫ,10,500,10000,50,1000
13003,"Крышка d-80 мм., белая С ПИТЕЙНИКОМ для стаканов объемом 250 мл.",ОДНОРАЗОВАЯ ПОСУДА,ОДНОРАЗОВЫЕ СТАКАНЫ,12,600,12000,50,1000
13019,"Крышка d-90 мм., белая С ПИТЕЙНИКОМ Для стаканов объемом , 450 мл.",ОДНОРАЗОВАЯ ПОСУДА,ОДНОРАЗОВЫЕ СТАКАНЫ,13,650,13000,50,1000
13020,"Крышка d-90 мм., черная С ПИТЕЙНИКОМ Для стаканов объемом , 450 мл.",ОДНОРАЗОВАЯ ПОСУДА,ОДНОРАЗОВЫЕ СТАКАНЫ,13,650,13000,50,1000
13021,"Крышка d-90 мм., прозрачная С ПИТЕЙНИКОМ Для стаканов объемом , 450 мл.",ОДНОРАЗОВАЯ ПОСУДА,ОДНОРАЗОВЫЕ СТАКАНЫ,13,650,13000,50,1000
